district,brand_name,branch_name,addr_raw,address_norm,source_id,center_source,match_level,lon,lat
善化區,全家便利商店股份有限公司,善化和平分公司,臺南市善化區中山路231之6號1樓,台南市善化區中山路231之6號,53028203,map.com.tw-js:2,PAGE_FALLBACK,120.298080,23.132209
善化區,統一超商股份有限公司,台南市第二二六分公司,臺南市善化區嘉北里13鄰352號1樓,台南市善化區嘉北里13鄰352號,53677332,map.com.tw-js:2,PAGE_FALLBACK,120.306539,23.113434
善化區,統一超商股份有限公司,台南市第四八八分公司,臺南市善化區昌隆里東勢寮186-9號1樓,台南市善化區昌隆里東勢寮186號,97615616,map.com.tw-js:2,PAGE_FALLBACK,120.316368,23.156284
善化區,統一超商股份有限公司,台南市第四六二分公司,臺南市善化區胡家里胡厝寮30-3號1樓,台南市善化區胡家里胡厝寮30號,93502099,map.com.tw-js:2,PAGE_FALLBACK,120.272282,23.144202
善化區,統一超商股份有限公司,台南縣第一八八分公司,臺南市善化區什乃里10鄰什乃190號,台南市善化區什乃里10鄰什乃190號,27938445,map.com.tw-js:2,PAGE_FALLBACK,120.288098,23.139159
善化區,統一超商股份有限公司,台南縣第一六八分公司,臺南市善化區田寮里7鄰六分寮74-1號1樓,台南市善化區田寮里7鄰六分寮74號,27257720,map.com.tw-js:2,PAGE_FALLBACK,120.301204,23.152709
善化區,統一超商股份有限公司,台南縣第二二七分公司,臺南市善化區小新里7鄰成功路173之1號1樓,台南市善化區小新里7鄰成功路173之1號,28435385,map.com.tw-js:2,PAGE_FALLBACK,120.313513,23.128263
大內區,統一超商股份有限公司,台南市第四一四分公司,臺南市大內區內庄172-8號1樓,台南市大內區內庄172號,90181930,map.com.tw-js:2,PAGE_FALLBACK,120.362925,23.117252
大內區,統一超商股份有限公司,台南縣第二三０分公司,臺南市大內區石城村16鄰石子瀨122之153號1樓,台南市大內區石城村16鄰石子瀨122之153號,28437031,map.com.tw-js:2,PAGE_FALLBACK,120.356201,23.119253
學甲區,統一超商股份有限公司,台南市第五四０分公司,臺南市學甲區光華里中洲571號1樓,台南市學甲區光華里中洲571號,96797552,map.com.tw-js:2,PAGE_FALLBACK,120.159676,23.244219
安南區,全家便利商店股份有限公司,台南大安分公司,臺南市安南區大安里大安街140號1樓,台南市安南區大安里大安街140號,27251508,map.com.tw-js:2,PAGE_FALLBACK,120.193224,23.032948
安南區,全家便利商店股份有限公司,台南安中分公司,臺南市安南區梅花里安中路一段699巷1號1樓,台南市安南區梅花里安中路1段699巷1號,70773366,map.com.tw-js:2,PAGE_FALLBACK,120.196404,23.042314
安南區,全家便利商店股份有限公司,台南市第二一二分公司,臺南市安南區長和路二段12巷275號,台南市安南區長和路2段12巷275號,54391996,map.com.tw-js:2,PAGE_FALLBACK,120.222893,23.069714
安南區,全家便利商店股份有限公司,台南市第二五O分公司,臺南市安南區海佃里國安街56巷73號、75號,台南市安南區海佃里國安街56巷73號,83526712,map.com.tw-js:2,PAGE_FALLBACK,120.189696,23.024473
