source_id,name,district,addr_raw,address_norm,center_source,match_level,lon,lat
28420518,台南縣第二０八分公司,官田區,臺南市官田區二鎮村25鄰工社西街25巷81號,台南市官田區二鎮村25鄰工社西街25巷81號,NONE,NONE,,
53010549,第五十七分公司,官田區,臺南市官田區南廍里南廍32號1樓,台南市官田區南廍里南廍32號,NONE,NONE,,
54374363,台南市第二三八分公司,將軍區,臺南市將軍區長榮里長榮29-2號1樓,台南市將軍區長榮里長榮29號,NONE,NONE,,
27940322,台南縣第一八九分公司,將軍區,臺南市將軍區將富村5鄰49之8號,台南市將軍區將富村5鄰49之8號,NONE,NONE,,
27931273,第3205分公司,將軍區,臺南市將軍區西華村西華67之23號1樓,台南市將軍區西華村西華67之23號,NONE,NONE,,
83351620,第四六六九分公司,將軍區,臺南市將軍區平沙里平沙1-19號1樓,台南市將軍區平沙里平沙1號,NONE,NONE,,
80023130,台南市第九十八分公司,山上區,臺南市山上區南洲337-3號1樓,台南市山上區南洲337號,NONE,NONE,,
83111489,台南市第二六三分公司,山上區,臺南市山上區明和里明和196－1號,台南市山上區明和里明和196號,NONE,NONE,,
90527878,台南市第四００分公司,山上區,臺南市山上區山上里山上249、249-1、249-2號1樓,台南市山上區山上里山上249、249-1、249號,NONE,NONE,,
54373527,台南市第二三二分公司,後壁區,臺南市後壁區菁寮346號1樓,台南市後壁區菁寮346號,NONE,NONE,,
70824983,台南市第二十六分公司,後壁區,臺南市後壁區後壁村3鄰後壁71號,台南市後壁區後壁村3鄰後壁71號,NONE,NONE,,
93502318,台南市第四六三分公司,後壁區,臺南市後壁區長短樹里10鄰長短樹24-2號,台南市後壁區長短樹里10鄰長短樹24號,NONE,NONE,,
93515854,台南後壁分公司,後壁區,臺南市後壁區後壁里後壁97-2、97-3號,台南市後壁區後壁里後壁97-2、97號,NONE,NONE,,
27236872,台南縣第一四九分公司,後壁區,臺南市後壁區福安村200號,台南市後壁區福安村200號,NONE,NONE,,
80357369,後壁茄苳分公司,後壁區,臺南市後壁區嘉民里上茄苳146之32號,台南市後壁區嘉民里上茄苳146之32號,NONE,NONE,,
53663029,新營國道北分公司,後壁區,臺南市後壁區竹新里新厝72號,台南市後壁區竹新里新厝72號,NONE,NONE,,
53662838,新營國道南分公司,後壁區,臺南市後壁區竹新里新厝69號,台南市後壁區竹新里新厝69號,NONE,NONE,,
96780905,第五一九四分公司,後壁區,臺南市後壁區上茄苳127號,台南市後壁區上茄苳127號,NONE,NONE,,
91074389,第四六七八分公司,後壁區,臺南市後壁區後壁195之17號1樓,台南市後壁區後壁195之17號,NONE,NONE,,
53672575,台南市第二二三分公司,新化區,臺南市新化區知母義15號之201樓,台南市新化區知母義15號,NONE,NONE,,
16749158,台南縣第８３分公司,新化區,臺南市新化區拔里拔林241號1樓,台南市新化區拔里拔林241號,NONE,NONE,,
82948480,第四六三六分公司,新化區,臺南市新化區崙子頂64之3、64之5號,台南市新化區崙子頂64之3、64之5號,NONE,NONE,,
83140668,台南市第三五六分公司,新市,臺南市新市區中正路193號,台南市新市區中正路193號,NONE,NONE,,
83751392,台南市第三四六分公司,新市,臺南市新市區潭頂里潭頂400號,台南市新市區潭頂里潭頂400號,NONE,NONE,,
51547101,台南市第二七九分公司,新市,臺南市新市區三舍里三舍55號1樓,台南市新市區三舍里三舍55號,NONE,NONE,,
53669635,台南市第二二０分公司,新市,臺南市新市區大社里大社710號1樓,台南市新市區大社里大社710號,NONE,NONE,,
90593320,台南市第二八四分公司,新市,臺南市新市區社內里社內8－12號,台南市新市區社內里社內8號,NONE,NONE,,
83635205,台南市第二六○分公司,新市,臺南市新市區社內里社內102—5號,台南市新市區社內里社內102—5號,NONE,NONE,,
54915760,台南市第二四六分公司,新市,臺南市新市區大營里陽光大道26號、28號,台南市新市區大營里陽光大道26號,NONE,NONE,,
27255693,台南市第六十五分公司,新市,臺南市新市區仁愛街169、171號1樓,台南市新市區仁愛街169、171號,NONE,NONE,,
89185536,台南市第四三八分公司,新市,臺南市新市區復興路173、175號1樓,台南市新市區復興路173、175號,NONE,NONE,,
16442170,台南縣第６８分公司,新市,臺南市新市區永就村中華路五十三巷９號１樓,台南市新市區永就村中華路五十三巷9號,NONE,NONE,,
16747813,台南縣第６分公司,新市,臺南市新市區中興街162號1樓,台南市新市區中興街162號,NONE,NONE,,
70804868,台南縣第一０一分公司,新市,臺南市新市區大順三路125號,台南市新市區大順三路125號,NONE,NONE,,
70764134,台南縣第一一一分公司,新市,臺南市新市區大營村大營一三六之一號,台南市新市區大營村大營一三六之一號,NONE,NONE,,
80031271,台南縣第一三七分公司,新市,臺南市新市區南科三路17號1樓、19樓1樓,台南市新市區南科三路17號,NONE,NONE,,
89406756,台南縣第三十八分公司,新市,臺南市新市區復興路59、61、63號1樓,台南市新市區復興路59、61、63號,NONE,NONE,,
28432937,台南縣第三十六分公司,新市,臺南市新市區社內村1鄰社內12之5號1樓,台南市新市區社內村1鄰社內12之5號,NONE,NONE,,
28990046,新市大社分公司,新市,臺南市新市區大社村335號,台南市新市區大社村335號,NONE,NONE,,
70802735,台南市四十四分公司,新營區,臺南市新營區太子宮142之34號,台南市新營區太子宮142之34號,NONE,NONE,,
24815461,台南市第二四一分公司,新營區,臺南市新營區大宏里三民路52號1樓,台南市新營區大宏里三民路52號,NONE,NONE,,
93784506,台南市第四四九分公司,新營區,臺南市新營區太子宮140之2號1樓,台南市新營區太子宮140之2號,NONE,NONE,,
95438903,新營三民分公司,新營區,臺南市新營區大宏里三民路18號1樓,台南市新營區大宏里三民路18號,NONE,NONE,,
80035207,新營新興分公司,新營區,臺南市新營區忠政里中正路39之9號1樓,台南市新營區忠政里中正路39之9號,NONE,NONE,,
80538257,台南南森分公司,東區,臺南市東區林森路2段192巷29號1樓,台南市東區林森路2段192巷29號,NONE,NONE,,
16081767,台南巿第１００分公司,東區,臺南市東區路東里大同路二段九十五–３號１樓,台南市東區路東里大同路2段九十五–3號,NONE,NONE,,
22660342,台南巿第十九分公司,東區,臺南市東區林森路一段184號1樓,台南市東區林森路1段184號,NONE,NONE,,
24817284,台南市第二九八分公司,東區,臺南市東區林森路2段192巷24弄5、7號1樓,台南市東區林森路2段192巷24弄5、7號,NONE,NONE,,
83557186,台南市第二五九分公司,東區,臺南市東區大學里長榮路三段39號1、2樓,台南市東區大學里長榮路3段39號,NONE,NONE,,
90225796,台南市第二八六分公司,東區,臺南市東區忠孝里中華東路三段380巷1號1樓,台南市東區忠孝里中華東路3段380巷1號,NONE,NONE,,
83636703,台南市第二六一分公司,東區,臺南市東區大福里榮譽街61號,台南市東區大福里榮譽街61號,NONE,NONE,,
54387212,台南市第二四六分公司,東區,臺南市東區大智里德東街101號1樓,台南市東區大智里德東街101號,NONE,NONE,,
53671772,第四一0九分公司,東區,臺南市東區大同里大同路1段59號1樓,台南市東區大同里大同路1段59號,NONE,NONE,,
23825482,臺南巿第四十三分公司,東區,臺南市東區大興里大同路一段２５７、２５９、２６１號１樓,台南市東區大興里大同路1段257、259、261號,NONE,NONE,,
53665390,台南市第二一七分公司,東山區,臺南市東山區前大埔191號1樓,台南市東山區前大埔191號,NONE,NONE,,
90182115,台南市第四一五分公司,東山區,臺南市東山區科里里枋子林74之6號1樓,台南市東山區科里里枋子林74之6號,NONE,NONE,,
83140371,台南市第三五五分公司,柳營區,臺南市柳營區果毅里果毅後14-1號1樓,台南市柳營區果毅里果毅後14號,NONE,NONE,,
80027467,柳營重溪分公司,柳營區,臺南市柳營區重溪村小腳腿12號1樓,台南市柳營區重溪村小腳腿12號,NONE,NONE,,
24816932,台南市第二九六分公司,歸仁區,臺南市歸仁區大潭里中正南路3段22號1樓,台南市歸仁區大潭里中正南路3段22號,NONE,NONE,,
95452637,台南市第四七二分公司,歸仁區,臺南市歸仁區大潭里長榮路一段297之1號1樓,台南市歸仁區大潭里長榮路1段297之1號,NONE,NONE,,
70763418,台南縣第一一０分公司,歸仁區,臺南市歸仁區南興村一鄰民生北街一０六號一樓,台南市歸仁區南興村一鄰民生北街一0六號,NONE,NONE,,
27948963,台南縣第一九三分公司,歸仁區,臺南市歸仁區大廟村10鄰大廟一街1號1樓,台南市歸仁區大廟村10鄰大廟一街1號,NONE,NONE,,
90717764,台南市第三七八分公司,永康區,臺南市永康區中華路617之1號1樓,台南市永康區中華路617之1號,NONE,NONE,,
54374390,台南市第二三六分公司,永康區,臺南市永康區新樹里中山北路634巷7號1樓,台南市永康區新樹里中山北路634巷7號,NONE,NONE,,
24800262,台南市第二六五分公司,永康區,臺南市永康區二王里忠孝路429巷15弄6號1樓,台南市永康區二王里忠孝路429巷15弄6號,NONE,NONE,,
