鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
學甲區,房地(土地+建物)+車位,臺南市學甲區濟生路６之２０號二樓之２,32.27,住,,,1130316,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140626,121.5,2,2,2,有,有,5860000,55885,一樓平面,35.43,1050000,預售屋、或土地及建物分件登記案件；,RPTNMLTKJHLGFGD88DA,54.96,0.0,6.09,有,
善化區,房地(土地+建物)+車位,臺南市善化區復興街４８巷２之６號二樓之１,33.22,住,,,1130324,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141028,102.13,3,2,2,有,有,11717970,116197,其他,9.46,950000,預售屋、或土地及建物分件登記案件；,RPTOMLKLJHLGFHD28DA,67.27,0.0,4.54,有,
善化區,房地(土地+建物)+車位,臺南市善化區復興街４８巷２之６號三樓之２,32.59,住,,,1130309,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141028,100.05000000000001,3,2,2,有,有,11150000,115907,其他,9.46,650000,預售屋、或土地及建物分件登記案件；,RPUNMLKLJHLGFHD28DA,63.29,0.0,6.86,有,
善化區,房地(土地+建物)+車位,臺南市善化區復興街４８巷２之６號六樓之１,33.22,住,,,1130303,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141028,102.13,3,2,2,有,有,11750000,118161,其他,9.46,800000,預售屋、或土地及建物分件登記案件；,RPPOMLKLJHLGFHD87DA,67.27,0.0,4.54,有,
善化區,房地(土地+建物)+車位,臺南市善化區復興街４８巷２之６號五樓之２,32.59,住,,,1130303,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141028,100.05000000000001,3,2,2,有,有,11250000,117563,其他,9.46,600000,預售屋、或土地及建物分件登記案件；,RPUOMLKLJHLGFHD38DA,63.29,0.0,6.86,有,
新營區,房地(土地+建物)+車位,臺南市新營區新進路二段２２７號七樓之五,12.42,商,,,1130303,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141104,115.99000000000001,2,2,2,有,有,9620000,89719,坡道平面,25.82,1530000,預售屋、或土地及建物分件登記案件；,RPTNMLQLJHLGFDD38DA,52.4,0.0,4.02,有,
仁德區,房地(土地+建物)+車位,臺南市仁德區保生路３６號七樓之１,13.25,商,,,1130326,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141117,119.39,2,2,1,有,有,10700000,97494,坡道平面,24.82,1480000,預售屋、或土地及建物分件登記案件；,RPQOMLMKJHLGFID18DA,56.64,0.0,6.05,有,
永康區,房地(土地+建物)+車位,臺南市永康區仁愛街５３巷１９號十一樓之６,14.45,商,,,1130330,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140409,142.82999999999998,3,2,2,有,有,14200000,113626,坡道平面,31.94,1600000,預售屋、或土地及建物分件登記案件；,RPTNMLPLJHLGFKD98DA,68.99,0.0,4.68,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區光明街３３３號五樓之５,32.65,住,,,1130331,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141013,151.25,3,2,2,有,有,11670000,84770,坡道平面,31.16,1490000,第一次讓渡日期114/04/22第二次讓渡日期114/11/07預售屋、或土地及建物分件登記案件；,RPVOMLMLJHLGFID78DA,72.69,0.0,6.69,有,
安南區,房地(土地+建物)+車位,臺南市安南區本原街三段２６１號三樓之２,42.72,住,,,1130311,土地1建物1車位1,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141007,106.05,2,2,2,有,有,9030000,90443,一樓平面,22.24,1450000,預售屋、或土地及建物分件登記案件；,RPWOMLMJJHLGFBD97DA,61.79,0.0,9.15,有,
北區,房地(土地+建物)+車位,臺南市北區和緯路二段３４１號三樓之３,10.21,住,,,1130218,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141110,100.67,1,2,2,有,有,12520000,136514,坡道平面,22.29,1820000,預售屋、或土地及建物分件登記案件；,RPTNMLKLJHLGFAD47DA,45.88,0.0,4.14,有,
西港區,房地(土地+建物),臺南市西港區八份１６之２０號,87.63,,鄉村區,乙種建築用地,1130224,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1140919,151.98,3,2,4,有,無,11380000,74878,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOOMLQKJHLGFGD18DA,145.01,0.0,6.88,無,
西港區,房地(土地+建物),臺南市西港區八份１６之１７號,90.99,,鄉村區,乙種建築用地,1130224,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1140919,151.98,3,2,4,有,無,11580000,76194,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPOMLQKJHLGFGD28DA,145.01,0.0,6.88,無,
西港區,房地(土地+建物),臺南市西港區八份１６之１１號,105.59,,鄉村區,乙種建築用地,1130224,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1140919,152.76,4,2,5,有,無,12880000,84315,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOPMLQKJHLGFGD28DA,147.61,0.0,5.06,無,
善化區,房地(土地+建物)+車位,臺南市善化區復興街４８巷２之６號四樓之１,33.22,住,,,1130208,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141028,102.13,3,2,2,有,有,11650000,116543,其他,9.46,850000,預售屋、或土地及建物分件登記案件；,RPVNMLKLJHLGFHD38DA,67.27,0.0,4.54,有,
仁德區,房地(土地+建物),臺南市仁德區保生路３６號十一樓之２,13.25,商,,,1130216,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141117,95.92,2,2,2,有,有,9900000,103211,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXNMLMKJHLGFID78DA,59.89,0.0,3.67,有,
仁德區,房地(土地+建物)+車位,臺南市仁德區保生路３６號六樓之１,13.25,商,,,1130229,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141117,119.39,2,2,1,有,有,10600000,95802,坡道平面,24.82,1540000,預售屋、或土地及建物分件登記案件；,RPPOMLMKJHLGFID08DA,56.64,0.0,6.05,有,
仁德區,房地(土地+建物)+車位,臺南市仁德區保生路２２號五樓之２,12.42,商,,,1130227,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141117,111.88,2,2,1,有,有,10150000,99586,坡道平面,24.82,1480000,預售屋、或土地及建物分件登記案件；,RPWOMLMKJHLGFID78DA,53.19,0.0,4.5,有,
