Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
243,D35,龍崎區,7036,番社段,707,120.3814490673,22.9223322996
244,D35,龍崎區,7036,番社段,707-2,120.3821261366,22.9239097982
245,D35,龍崎區,7036,番社段,725-2,120.3803966475,22.9236721440
246,D35,龍崎區,7036,番社段,725-6,120.3794297723,22.9229767637
247,D35,龍崎區,7036,番社段,725-7,120.3782572212,22.9225304580
248,D35,龍崎區,7036,番社段,727-1,120.3773473709,22.9229989243
249,D35,龍崎區,7036,番社段,755-1,120.3744388388,22.9235009785
250,D35,龍崎區,7036,番社段,755-2,120.3751839534,22.9232961428
251,D35,龍崎區,7036,番社段,755-5,120.3730885641,22.9207075145
252,D35,龍崎區,7036,番社段,755-6,120.3737577589,22.9218707924
253,D35,龍崎區,7036,番社段,755-8,120.3725000190,22.9222994444
254,D35,龍崎區,7036,番社段,755-9,120.3716900239,22.9203906463
255,D35,龍崎區,7036,番社段,755-11,120.3710780528,22.9226718755
256,D35,龍崎區,7036,番社段,763-1,120.3727447123,22.9189882300
257,D35,龍崎區,7036,番社段,765-1,120.3732633639,22.9183088053
258,D35,龍崎區,7036,番社段,769,120.3721502281,22.9164765000
259,D35,龍崎區,7036,番社段,769-2,120.3732123107,22.9161798591
260,D35,龍崎區,7036,番社段,769-3,120.3726388812,22.9149073631
261,D35,龍崎區,7036,番社段,769-4,120.3727636962,22.9160720627
262,D35,龍崎區,7036,番社段,770-2,120.3714507427,22.9153563292
263,D35,龍崎區,7036,番社段,774-1,120.3719909553,22.9176016162
264,D35,龍崎區,7036,番社段,780,120.3728711139,22.9137286685
265,D35,龍崎區,7036,番社段,781,120.3730039251,22.9135927004
266,D35,龍崎區,7036,番社段,782,120.3729831989,22.9134645625
267,D35,龍崎區,7036,番社段,783,120.3727976806,22.9132850532
268,D35,龍崎區,7036,番社段,786,120.3955468026,22.9447805829
269,D35,龍崎區,7036,番社段,786-22,120.3939762236,22.9428785526
270,D35,龍崎區,7036,番社段,786-23,120.3936545575,22.9426750286
271,D35,龍崎區,7036,番社段,786-24,120.3904489815,22.9484642193
272,D35,龍崎區,7036,番社段,789-2,120.3929591882,22.9425808111
273,D35,龍崎區,7036,番社段,793,120.4218809732,22.9433936812
274,D35,龍崎區,7036,番社段,798,120.4170453185,22.9392298344
275,D35,龍崎區,7036,番社段,799,120.4175004234,22.9380355746
276,D35,龍崎區,7036,番社段,803,120.4173231199,22.9326367470
277,D35,龍崎區,7036,番社段,804,120.4169235831,22.9320956912
278,D35,龍崎區,7036,番社段,806,120.4202353255,22.9305100552
279,D35,龍崎區,7036,番社段,807,120.4195024509,22.9301322861
280,D35,龍崎區,7036,番社段,819,120.4186752474,22.9227002013
281,D35,龍崎區,7036,番社段,826-1,120.4154624715,22.9290678481
282,D35,龍崎區,7036,番社段,826-3,120.4144817232,22.9264613146
283,D35,龍崎區,7036,番社段,831,120.4149798824,22.9359831854
284,D35,龍崎區,7036,番社段,833,120.4115630941,22.9361513134
285,D35,龍崎區,7036,番社段,833-2,120.4130094688,22.9372484378
286,D35,龍崎區,7036,番社段,833-3,120.4124836402,22.9361432709
287,D35,龍崎區,7036,番社段,833-4,120.4121898532,22.9359972398
